14027	09	10	24	28	29	10	12	313,884,979	3	7,411,068	49	89,630	129,519,796	2014-03-10
14026	05	10	12	15	26	04	08	318,035,173	0	0	91	63,618	139,988,871	2014-03-08
14025	19	20	27	32	34	06	08	292,317,488	3	7,282,407	49	97,469	128,550,281	2014-03-05
14024	07	11	15	31	32	06	11	297,992,483	4	7,145,411	32	178,784	129,953,991	2014-03-03
14023	04	13	15	29	33	05	09	306,189,144	4	5,835,860	105	25,417	141,829,576	2014-03-01
14022	03	06	10	16	25	10	11	325,669,431	1	10,000,000	29	209,938	130,079,120	2014-02-26
14021	06	10	17	23	24	03	09	309,059,701	4	6,564,613	39	108,915	128,569,953	2014-02-24
14020	01	14	17	30	35	06	07	322,855,712	2	10,000,000	37	161,466	142,178,440	2014-02-22
14019	07	12	22	29	32	11	12	316,455,971	2	7,976,663	70	62,013	127,761,746	2014-02-19
14018	08	09	12	28	34	02	12	317,846,981	0	0	41	126,284	121,704,224	2014-02-17
14017	05	10	11	23	34	01	10	295,873,500	5	6,712,143	31	206,428	136,657,269	2014-02-15
14016	04	06	13	24	34	04	09	312,409,622	8	6,326,869	21	302,420	123,079,546	2014-02-12
14015	04	06	18	20	30	05	07	336,487,176	1	10,000,000	40	130,654	118,668,684	2014-02-10
14014	01	09	11	27	29	03	11	325,125,162	2	8,694,497	42	102,624	130,439,909	2014-02-08
14013	10	11	13	22	28	04	12	324,041,671	1	10,000,000	91	61,637	137,312,298	2014-01-29
14012	09	20	21	23	29	05	07	308,985,857	1	9,827,845	64	74,203	126,548,654	2014-01-27
14011	04	06	14	24	35	07	12	305,399,026	1	10,000,000	26	273,756	138,131,180	2014-01-25
14010	05	10	20	26	27	01	03	289,164,215	2	10,000,000	42	167,815	126,731,854	2014-01-22
14009	10	18	25	29	33	07	08	277,824,746	2	7,224,139	125	26,297	123,676,782	2014-01-20
14008	11	13	20	28	35	01	05	282,150,599	1	10,000,000	29	242,212	137,668,320	2014-01-18
14007	08	11	14	21	32	03	11	263,085,157	5	6,378,533	99	47,129	123,439,275	2014-01-15
14006	01	04	07	16	35	06	08	279,505,469	0	0	29	186,411	119,059,472	2014-01-13
14005	15	17	18	29	33	04	08	251,264,064	4	6,981,095	38	125,187	132,360,353	2014-01-11
14004	07	10	19	27	28	09	12	259,377,488	2	7,468,802	60	65,432	121,043,337	2014-01-08
14003	07	11	13	21	33	05	06	262,749,156	2	7,696,913	41	110,773	121,231,014	2014-01-06
14002	01	12	21	24	29	01	07	265,231,194	1	10,000,000	49	126,117	134,448,795	2014-01-04
14001	05	13	20	23	29	08	11	245,814,203	1	10,000,000	51	92,763	120,984,608	2014-01-01
13153	04	05	16	17	30	03	09	235,568,607	0	0	35	180,278	120,218,297	2013-12-30
13152	09	12	14	18	19	03	09	208,662,004	5	7,025,670	26	232,835	129,948,961	2013-12-28
13151	02	13	21	27	30	03	04	218,469,468	0	0	33	144,273	115,202,750	2013-12-25
13150	06	07	14	18	22	08	11	195,421,794	1	10,000,000	19	282,164	110,252,541	2013-12-23
13149	06	07	08	09	13	05	07	180,873,480	2	9,420,969	37	143,073	121,299,463	2013-12-21
13148	02	05	09	29	32	03	07	177,610,569	1	10,000,000	26	132,788	110,251,832	2013-12-18
13147	03	09	22	24	25	05	09	171,377,233	2	9,377,504	23	214,583	106,840,083	2013-12-16
13146	06	07	15	25	31	01	09	168,244,721	1	10,000,000	48	117,365	120,844,765	2013-12-14
13145	02	13	15	18	20	02	11	153,157,780	0	0	29	217,052	110,223,270	2013-12-11
13144	03	20	21	23	35	02	08	128,088,241	1	10,000,000	14	437,197	110,147,338	2013-12-09
13143	03	08	14	21	31	06	08	118,184,260	2	9,012,573	41	139,102	121,306,535	2013-12-07
13142	06	11	25	28	29	04	12	115,535,221	1	9,930,590	50	82,434	111,067,962	2013-12-04
13141	05	15	18	25	31	08	10	111,701,804	0	0	44	115,776	107,596,104	2013-12-02
13140	01	12	17	26	28	01	06	91,556,766	4	5,000,000	49	141,727	116,980,853	2013-11-30
13139	05	06	18	20	31	06	07	82,963,265	3	5,000,000	33	163,536	108,440,465	2013-11-27
13138	03	08	13	17	24	07	09	81,149,879	14	5,091,780	303	12,000	109,150,434	2013-11-25
13137	04	12	32	33	34	06	08	152,139,878	2	7,657,598	79	35,223	122,455,002	2013-11-23
13136	05	11	15	25	28	05	11	154,167,079	4	6,096,792	53	56,919	111,309,765	2013-11-20
13135	04	13	19	25	26	07	12	171,612,098	0	0	32	148,280	107,973,516	2013-11-18
13134	02	13	19	23	32	02	09	148,480,349	0	0	38	163,558	117,471,260	2013-11-16
13133	02	08	10	16	17	09	12	122,965,280	1	10,000,000	17	363,869	109,127,259	2013-11-13
13132	23	26	28	31	34	02	10	105,675,073	4	6,470,096	57	60,497	106,761,393	2013-11-11
13131	12	15	29	30	31	04	12	116,854,488	0	0	54	96,982	117,449,499	2013-11-09
13130	08	09	15	19	30	06	09	95,469,948	3	6,876,234	51	75,049	109,732,548	2013-11-06
13129	11	23	29	30	33	01	04	103,338,276	3	6,770,618	56	76,983	108,505,512	2013-11-04
13128	11	13	27	33	35	01	02	113,183,371	10	5,214,305	150	12,000	120,450,087	2013-11-02
13127	03	14	16	19	32	05	10	165,583,037	3	6,988,364	42	103,291	110,020,727	2013-10-30
13126	09	10	15	18	30	03	06	172,845,865	3	7,164,717	39	92,509	109,378,334	2013-10-28
13125	04	08	14	23	28	04	08	178,104,632	6	5,787,443	64	57,509	119,978,991	2013-10-26
13124	05	07	18	21	32	10	11	207,891,533	1	10,000,000	43	81,806	110,782,997	2013-10-23
13123	02	09	10	33	34	05	12	201,386,997	0	0	28	129,263	106,562,135	2013-10-21
13122	15	17	20	24	35	04	12	183,742,526	1	10,000,000	19	312,585	114,607,447	2013-10-19
13121	03	18	19	20	24	03	12	167,954,219	2	8,513,182	26	209,983	107,502,799	2013-10-16
13120	06	14	15	22	26	03	11	167,252,806	0	0	13	413,988	103,379,902	2013-10-14
13119	01	02	16	23	35	01	11	144,276,439	1	10,000,000	32	199,228	114,833,494	2013-10-12
13118	04	06	11	20	31	01	05	124,989,788	1	10,000,000	30	168,855	102,403,342	2013-10-09
13117	05	16	23	25	33	07	12	112,954,194	1	5,000,000	22	198,669	94,444,889	2013-10-07
13116	13	22	23	30	33	09	11	97,540,922	1	5,000,000	45	97,922	106,157,155	2013-10-05
13115	05	16	29	32	34	04	11	87,253,881	9	5,000,000	166	12,000	90,887,232	2013-10-02
13114	06	17	21	23	33	01	09	135,253,881	6	6,173,985	511	12,000	101,049,414	2013-09-30
13113	19	21	23	28	30	08	12	154,688,007	4	6,675,534	161	24,961	114,354,307	2013-09-28
13112	02	10	20	22	29	05	12	164,634,801	1	10,000,000	25	218,418	102,958,306	2013-09-25
13111	07	12	13	20	27	01	03	151,209,447	1	9,239,212	81	47,398	102,613,684	2013-09-23
